income_above_50k,age,type_of_work,education,years_of_education,marital_status,occupation,race,sex,hours_per_week,home_country
0,39, State-gov, Bachelors,13, Never-married, Adm-clerical, White, Male,40, United-States
0,50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,13, United-States
0,38, Private, HS-grad,9, Divorced, Handlers-cleaners, White, Male,40, United-States
0,53, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Black, Male,40, United-States
0,28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Black, Female,40, Cuba
0,37, Private, Masters,14, Married-civ-spouse, Exec-managerial, White, Female,40, United-States
0,49, Private, 9th,5, Married-spouse-absent, Other-service, Black, Female,16, Jamaica
1,52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, White, Male,45, United-States
1,31, Private, Masters,14, Never-married, Prof-specialty, White, Female,50, United-States
1,42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, White, Male,40, United-States
1,37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Black, Male,80, United-States
1,30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,40, India
0,23, Private, Bachelors,13, Never-married, Adm-clerical, White, Female,30, United-States
0,32, Private, Assoc-acdm,12, Never-married, Sales, Black, Male,50, United-States
1,40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, ?
0,34, Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male,45, Mexico
0,25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, White, Male,35, United-States
0,32, Private, HS-grad,9, Never-married, Machine-op-inspct, White, Male,40, United-States
0,38, Private, 11th,7, Married-civ-spouse, Sales, White, Male,50, United-States
1,43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, White, Female,45, United-States
1,40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, White, Male,60, United-States
0,54, Private, HS-grad,9, Separated, Other-service, Black, Female,20, United-States
0,35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Black, Male,40, United-States
0,43, Private, 11th,7, Married-civ-spouse, Transport-moving, White, Male,40, United-States
0,59, Private, HS-grad,9, Divorced, Tech-support, White, Female,40, United-States
1,56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, White, Male,40, United-States
0,19, Private, HS-grad,9, Never-married, Craft-repair, White, Male,40, United-States
1,54, ?, Some-college,10, Married-civ-spouse, ?, Asian-Pac-Islander, Male,60, South
0,39, Private, HS-grad,9, Divorced, Exec-managerial, White, Male,80, United-States
0,49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States
0,23, Local-gov, Assoc-acdm,12, Never-married, Protective-serv, White, Male,52, United-States
0,20, Private, Some-college,10, Never-married, Sales, Black, Male,44, United-States
0,45, Private, Bachelors,13, Divorced, Exec-managerial, White, Male,40, United-States
0,30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, White, Male,40, United-States
0,22, State-gov, Some-college,10, Married-civ-spouse, Other-service, Black, Male,15, United-States
0,48, Private, 11th,7, Never-married, Machine-op-inspct, White, Male,40, Puerto-Rico
0,21, Private, Some-college,10, Never-married, Machine-op-inspct, White, Male,40, United-States
0,19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, White, Female,25, United-States
1,31, Private, Some-college,10, Married-civ-spouse, Sales, White, Male,38, ?
0,48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, White, Male,40, United-States
0,31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, White, Male,43, United-States
